|0|1|2
54|จ.กาญจนบุรี|อ.เมือง|ต.ปากแพรก
55|จ.สุรินทร์|อ.กาบเชิง|ต.กาบเชิง
56|จ.กาฬสินธุ์|อ.เมือง|ต.กาฬสินธุ์
57|จ.เลย|อ.เมือง|ต.เมือง
58|จ.กำแพงเพชร|อ.เมือง|ต.ในเมือง
59|จ.นครปฐม|อ.กำแพงแสน|ต.กำแพงแสน
60|จ.กาฬสินธุ์|อ.กุฉินารายณ์|ต.บัวขาว
61|จ.อุบลราชธานี|อ.กุดข้าวปุ้น|ต.ข้าวปุ้น
62|จ.อุดรธานี|อ.กุดจับ|ต.เมืองเพีย
63|จ.ยโสธร|อ.กุดชุม|ต.กุดชุม
64|จ.หนองบัวลำภู|ต.กุดดินจี่|ม.1
65|จ.มหาสารคาม|อ.กุดรัง|อ.กิ่ง
66|จ.อุดรธานี|อ.กุมภวาปี|ต.กุมภวาปี
67|จ.ประจวบคีรีขันธ์|อ.กุยบุรี|ต.กุยบุรี
68|จ.สกลนคร|อ.กุสุมาลย์|ต.กุสุมาลย์
69|จ.อุดรธานี|อ.กู่แก้ว|ต.บ้านจีต
70|จ.ร้อยเอ็ด|อ.เกษตรวิสัย|ต.เกษตรวิสัย
71|จ.ชัยภูมิ|อ.เกษตรสมบูรณ์|ต.บ้านยาง
72|จ.นครสวรรค์|อ.เก้าเลี้ยว|ต.เก้าเลี้ยว
73|จ.ลำปาง|อ.เกาะคา|ต.ศาลา
74|จ.สุราษฎร์ธานี|อ.เกาะพะงัน|ต.เกาะพะงัน
75|จ.ประจวบคีรีขันธ์|อ.บางสะพาน|ต.ร่อนทอง
76|จ.พังงา|อ.เกาะยาว|ม.1
77|จ.สุราษฎร์ธานี|ตำบลอ่างทอง|1
78|จ.เพชรบุรี|อ.แก่งกระจาน|665/1-3
79|จ.ชัยภูมิ|อ.แก้งคร้อ|ต.ช่องสามหมอ
80|จ.สระบุรี|อ.แก่งคอย|ต.แก่งคอย
81|จ.นครราชสีมา|อ.แก้งสนามนาง|ต.แก้งสนามนาง
82|จ.จันทบุรี|อ.แก่งหางแมว|ต.แก่งหางแมว
83|จ.มหาสารคาม|ต.แกดำ|ม.13
84|จ.ระยอง|อ.แกลง|ต.ทางเกวียน
85|จ.นครสวรรค์|อ.โกรกพระ|ต.โกรกพระ
86|จ.กำแพงเพชร|อ.โกสัมพีนคร|ต.เพชรชมพู
87|จ.มหาสารคาม|อ.โกสุมพิสัย|ต.หัวขวาง
88|จ.สุโขทัย|อ.กงไกรลาส|ต.ไกรกลาง
89|จ.นครศรีธรรมราช|อ.ขนอม|ต.ขนอม
90|จ.จันทบุรี|อ.ขลุง|ต.ขลุง
91|จ.ขอนแก่น|อ.เมือง|ต.ในเมือง
92|จ.กำแพงเพชร|อ.ขาณุวรลักษบุรี|ต.ป่าพุทรา
93|จ.นครราชสีมา|อ.ขามทะเลสอ|ต.ขามทะเลสอ
94|จ.นครราชสีมา|อ.ขามสะแกแสง|ต.ขามสะแกแสง
95|จ.ศรีสะเกษ|อ.ขุขันธ์|ต.ห้วยเหนือ
96|จ.เชียงราย|อ.ขุนตาล|ต.ต้า
97|จ.แม่ฮ่องสอน|ต.ขุนยวม|ม.1
98|จ.ศรีสะเกษ|อ.ขุนหาญ|ต.สิ
99|จ.อุบลราชธานี|อ.เขมราฐ|ต.เขมราฐ
100|จ.ลำปาง|อ.เมือง|ต.บ่อแฮ้ว
101|จ.สุรินทร์|อ.เขวาสินรินทร์|1ต.เขวาสินรินทร์
102|จ.ราชบุรี|ต.นางแก้ว|ม.6
103|จ.จันทบุรี|อ.เขาคิชฌกูฎ|อ.กิ่ง
104|จ.สระแก้ว|อ.เขาฉกรรจ์|อ.กิ่ง
105|จ.นครสวรรค์|อ.แม่วงก์|ต.เขาชนกัน
106|จ.ระยอง|อ.กิ่งเขาชะเมา|ต.ห้วยทับมอญ
107|จ.พัทลุง|อ.เขาชัยสน|ต.เขาชัยสน
108|จ.ชุมพร|อ.สวี|ต.เขาทะลุ
109|จ.กระบี่|อ.เขาพนม|ต.เขาพนม
110|จ.เพชรบุรี|อ.เขาย้อย|ต.เขาย้อย
111|จ.เพชรบุรี|อ.ท่ายาง|ต.กลัดหลวง
112|จ.กาฬสินธุ์|อ.เขาวง|ต.คุ้มเก่า
113|จ.ตรัง|อำเภอวังวิเศษ|ตำบลเขาวิเศษ
114|จ.ขอนแก่น|อ.เขาสวนกวาง|ต.คำม่วง
115|จ.นครราชสีมา|อ.ปากช่อง|ม.1
116|จ.อุบลราชธานี|อ.เขื่องใน|ต.เขื่องใน
117|จ.นครราชสีมา|อ.คง|ต.เมืองคง
118|จ.นครราชสีมา|อ.ครบุรี|ต.แชะ
119|จ.ฉะเชิงเทรา|ต.ดอนฉิมพลี|ม.18
120|จ.ปทุมธานี|อ.ธัญบุรี|ต.ลำผักกูด
121|จ.กำแพงเพชร|อ.คลองขลุง|ต.คลองขลุง
122|จ.สงขลา|อ.สะเดา|ต.พังลา
123|จ.กระบี่|อ.คลองท่อม|ต.คลองท่อมใต้
124|จ.กระบี่|อ.คลองท่อม|ต.คลองพน
125|จ.กำแพงเพชร|ต.คลองพิไกร|ม.13
126|จ.กำแพงเพชร|อ.เมือง|ต.คลองแม่ลาย
127|จ.กำแพงเพชร|อ.คลองลาน|ต.คลองน้ำไหล
128|จ.สงขลา|อ.คลองหอยโข่ง|ต.คลองหอยโข่ง
129|จ.สตูล|อ.ควนกาหลง|ต.ทุ่งนุ้ย
130|จ.พัทลุง|อ.ควนขนุน|ต.ควนขนุน
131|จ.สงขลา|อ.ควนเนียง|ต.รัตภูมิ
132|จ.พัทลุง|อ.เมือง|ต.คูหาสวรรค์
133|จ.นครศรีธรรมราช|อ.ชะอวด|ม.1
134|จ.ชัยภูมิ|อ.คอนสวรรค์|ต.คอนสวรรค์
135|จ.ชัยภูมิ|อ.คอนสาร|ต.คอนสาร
136|จ.ยโสธร|อ.ค้อวัง|ต.ค้อวัง
137|จ.สิงห์บุรี|อ.ค่ายบางระจัน|ต.โพสังโฆ
138|จ.ยโสธร|อ.คำเขื่อนแก้ว|ต.ลุมพุก
139|จ.อุบลราชธานี|ต.ขุหลุ|ม.4
140|จ.มุกดาหาร|อ.คำชะอี|ต.น้ำเที่ยง
141|จ.สกลนคร|อ.คำตากล้า|ต.คำตากล้า
142|จ.กาฬสินธุ์|อ.คำม่วง|ต.ทุ่งคลอง
143|จ.สุโขทัย|อ.คีรีมาศ|ต.โตนด
144|จ.สุราษฎร์ธานี|อ.คีรีรัฐนิคม|ต.ท่าขนอน
145|จ.พังงา|อ.คุระบุรี|ต.คุระ
146|จ.บุรีรัมย์|อ.คูเมือง|ต.คูเมือง
147|จ.สงขลา|อ.รัตภูมิ|ต.ควนรู
148|จ.สุราษฎร์ธานี|อ.เคียนซา|ต.เคียนซา
149|จ.บุรีรัมย์|อ.แคนดง|ต.แคนดง
150|จ.พังงา|อ.ตะกั่วทุ่ง|ต.โคกกลอย
151|จ.ลพบุรี|อ.โคกเจริญ|ต.โคกเจริญ
152|จ.ลพบุรี|อ.เมือง|ต.โคกตูม
153|จ.ปัตตานี|อ.โคกโพธิ์|ต.โคกโพธิ์
154|จ.ขอนแก่น|อ.โคกโพธิ์ไชย|ต.บ้านโคก
155|จ.กาฬสินธุ์|อ.ยางตลาด|ต.อุ่มเมา
156|จ.สกลนคร|อ.โคกศรีสุพรรณ|ต.ตองโขม
157|จ.ลพบุรี|อ.โคกสำโรง|ต.โคกสำโรง
158|จ.กำแพงเพชร|อ.ขาณุวรลักษบุรี|ต.โค้งไผ่
159|จ.กาฬสินธุ์|ต.ฆ้องชัยพัฒนา|ม.7
160|จ.พิจิตร|อำเภอเมือง|ตำบลฆะมัง
161|จ.ลำปาง|อ.งาว|ต.หลวงใต้
162|จ.กรุงเทพมหานคร|เขตจตุจักร|แขวงลาดยาว
163|จ.ร้อยเอ็ด|อ.จตุรพักตรพิมาน|ต.หัวช้าง
164|จ.ร้อยเอ็ด|อ.จตุรพัตรพิมาน|ต.หนองผือ
165|จ.เชียงใหม่|อ.จอมทอง|ต.ข่วงเปา
166|จ.ราชบุรี|อ.จอมบึง|ต.จอมบึง
167|จ.สุรินทร์|อ.จอมพระ|ต.จอมพระ
168|จ.นครราชสีมา|อ.เมือง|ต.จอหอ
169|จ.สงขลา|อ.จะนะ|ต.บ้านนา
170|จ.นครราชสีมา|อ.จักราช|ต.จักราช
171|จ.ร้อยเอ็ด|อ.จังหาร|ต.ปาฝา
172|จ.ชัยภูมิ|อ.จัตุรัส|ต.บ้านกอก
173|จ.เชียงราย|อ.แม่จัน|ต.จันจว้าใต้
174|จ.นครศรีธรรมราช|อ.ฉวาง|ต.จันดี
175|จ.จันทบุรี|อ.เมือง|ต.วัดใหม่
176|จ.พะเยา|อ.จุน|ต.ห้วยข้าวก่ำ
177|จ.นครศรีธรรมราช|อ.จุฬาภรณ์|ต.สามตำบล
178|จ.เชียงใหม่|อ.สันทราย|ต.แม่แฝกใหม่
179|จ.เชียงราย|อ.แม่สรวย|ต.เจดีย์หลวง
180|จ.เชียงราย|อ.พาน|ต.เจริญเมือง
181|จ.สกลนคร|อ.เจริญศิลป์|ต.เจริญศิลป์
182|จ.พระนครศรีอยุธยา|อ.มหาราช|42/1-2
183|จ.ลำปาง|อ.แจ้ห่ม|ต.แจ้ห่ม
184|จ.นครศรีธรรมราช|อ.ฉวาง|ต.ไสหร้า
185|จ.ฉะเชิงเทรา|อ.เมือง|ต.หน้าเมือง
186|นครราชสีมา|เฉลิมพระเกียรติ|ท่าช้าง
187|จ.บุรีรัมย์|อ.เฉลิมพระเกียรติ|ต.ตาเป๊ก
188|จ.ประจวบคีรีขันธ์|อ.หัวหิน|ต.หัวหิน
189|จ.เพชรบูรณ์|อ.ชนแดน|ต.ชนแดน
190|จ.ขอนแก่น|อ.ชนบท|ต.ชนบท
191|จ.ชลบุรี|อ.เมือง|ต.มะขามหย่ง
192|จ.นครสวรรค์|อ.ตาคลี|ต.ช่องแค
193|จ.นครศรีธรรมราช|อ.ชะอวด|ต.ชะอวด
194|จ.เพชรบุรี|อ.ชะอำ|ต.ชะอำ
195|จ.ชัยนาท|อ.เมือง|ต.ในเมือง
196|จ.สุราษฎร์ธานี|อ.ชัยบุรี|ต.สองแพรก
197|จ.ชัยภูมิ|อ.เมือง|ต.ในเมือง
198|จ.อุบลราชธานี|อ.เดชอุดม|ต.เมืองเดช
199|จ.ชัยภูมิ|อ.แก้งคร้อ|ต.หนองไผ่
200|จ.ประจวบคีรีขันธ์|อ.บางสะพานน้อย|ต.ช้างแรก
201|จ.พิษณุโลก|อ.ชาติตระการ|ต.ป่าแดง
202|จ.อำนาจเจริญ|อ.ชานุมาน|ต.ชานุมาน
203|จ.บุรีรัมย์|อ.ชำนิ|ต.ชำนิ
204|จ.มหาสารคาม|ต.ชื่นชม|ม.10
205|จ.นครสวรรค์|อ.ชุมตาบง|ต.ชุมตาบง
206|จ.ชุมพร|อ.เมือง|ต.ท่าตะเภา
207|จ.สุรินทร์|อ.ชุมพลบุรี|ต.ชุมพลบุรี
208|จ.นครราชสีมา|อ.ชุมพวง|ต.ชุมพวง
209|จ.ขอนแก่น|อ.ชุมแพ|ต.ชุมแพ
210|จ.นครสวรรค์|อ.ชุมแสง|ต.ในเขต
211|จ.เลย|ต.เชียงกลม|ม.2
212|จ.น่าน|อ.เชียงกลาง|ต.เชียงกลาง
213|จ.ร้อยเอ็ด|ต.พระธาตุ|2
214|จ.เชียงราย|อ.เชียงของ|ต.เวียง
215|จ.เลย|อ.เชียงคาน|ต.เชียงคาน
216|จ.พะเยา|อ.เชียงคำ|ต.หย่วน
217|จ.เชียงใหม่|อ.เชียงดาว|ต.เชียงดาว
218|จ.พะเยา|อ.เชียงม่วน|ต.บ้านมาง
219|จ.มหาสารคาม|อ.เชียงยืน|ต.เชียงยืน
220|จ.เชียงราย|อ.เมือง|ต.เวียง
221|จ.เชียงราย|อ.เชียงแสน|ต.เวียง
222|จ.เชียงใหม่|อ.เมือง|ต.ศรีภูมิ
223|จ.นครศรีธรรมราช|อ.เชียรใหญ่|ต.แม่เจ้าอยู่หัว
224|จ.นครราชสีมา|อ.โชคชัย|ต.โชคชัย
225|จ.เชียงใหม่|อ.ไชยปราการ|ต.ปงดำ
226|จ.อุดรธานี|อ.ไชยวาน|ต.ไชยวาน
227|จ.สุราษฎร์ธานี|อ.ไชยา|ต.ตลาดไชยา
228|จ.ขอนแก่น|อ.ซำสูง|ต.กระนวน
229|จ.บึงกาฬ|อ.เซกา|ต.เซกา
230|จ.หนองคาย|ต.เซิม|ม.1
231|จ.บึงกาฬ|ต.โซ่พิสัย|ม.3
232|จ.เพชรบูรณ์|ต.หนองไขว่|4
233|จ.เพชรบูรณ์|อ.ชนแดน|ต.ดงขุย
234|จ.พิจิตร|กิ่งอำเภอดงเจริญ|ตำบลวังงิ้วใต้
235|จ.พะเยา|อ.ดอกคำใต้|ม.5
236|จ.มุกดาหาร|อ.ดงหลวง|ต.ดงหลวง
237|จ.พะเยา|อ.ดอกคำใต้|ต.ดอกคำใต้
238|จ.สุพรรณบุรี|อ.อู่ทอง|ต.ดอนคา
239|จ.นครศรีธรรมราช|อ.หัวไทร|ต.ทรายขาว
240|จ.อุบลราชธานี|อ.พิบูลมังสาหาร|ต.ดอนจิก
241|จ.สุพรรณบุรี|อ.ดอนเจดีย์|ต.ดอนเจดีย์
242|จ.พะเยา|อ.ปง|ม.4
243|จ.มุกดาหาร|อ.ดอนตาล|ถนนดอนตาล-เลิงนกทา
244|จ.นครปฐม|อ.ดอนตูม|ต.สามง่าม
245|จ.ขอนแก่น|ต.จระเข้|ม.10
246|จ.สุราษฎร์ธานี|อ.ดอนสัก|ต.ดอนสัก
247|จ.ชุมพร|อ.สวี|ม.12
248|จ.นครราชสีมา|อ.โนนสูง|ม.1
249|จ.เชียงใหม่|อ.ดอยเต่า|ต.ท่าเดื่อ
250|จ.เชียงใหม่|อ.ดอยสะเก็ด|ต.เชิงดอย
251|จ.เชียงราย|อ.ดอยหลวง|ม.10
252|จ.เชียงใหม่|อ.ดอยหล่อ|กิ่ง
253|จ.นครราชสีมา|อ.ด่านขุนทด|ต.ด่านขุนทด
254|จ.สุพรรณบุรี|อ.ด่านช้าง|ต.ด่านช้าง
255|จ.เลย|อ.ด่านซ้าย|ต.ด่านซ้าย
256|จ.กาญจนบุรี|ต.ด่านมะขามเตี้ย|ม.1
257|จ.ราชบุรี|อ.ดำเนินสะดวก|ต.ท่านัด
258|จ.อุบลราชธานี|อ.เดชอุดม|ต.เมืองเดช
259|จ.แพร่|อ.เด่นชัย|ต.เด่นชัย
260|จ.สุพรรณบุรี|อ.เดิมบางนางบวช|ต.เขาพระ
261|จ.นครศรีธรรมราช|อ.สิชล|ต.เสาวภา
262|จ.อุตรดิตถ์|อ.ตรอน|ต.บ้านแก่ง
263|จ.อุบลราชธานี|อ.ตระการพืชผล|ต.ขุหลุ
264|จ.ตรัง|อ.เมือง|ต.ทับเที่ยง
265|จ.ตราด|อ.เมืองตราด|ต.วังกระแจะ
266|จ.ขอนแก่น|อ.เมือง|ต.ในเมือง
267|จ.มหาสารคาม|อ.วาปีปทุม|ต.หนองแสง
268|จ.พังงา|อ.ตะกั่วป่า|ต.บางนายสี
269|จ.สงขลา|อ.ระโนด|ต.ตะเครียะ
270|จ.พิจิตร|อ.ตะพานหิน|ต.ตะพานหิน
271|จ.มหาสารคาม|อ.เมือง|ต.ตลาด
272|จ.นราธิวาส|อ.ระแงะ|ต.ตันหยงมัส
273|จ.ตาก|อ.เมือง|ต.หนองหลวง
274|จ.นครสวรรค์|อ.ตากฟ้า|ต.ตากฟ้า
275|จ.นครสวรรค์|อ.ตาคลี|ต.ตาคลี
276|จ.สระแก้ว|อ.ตาพระยา|ต.ตาพระยา
277|จ.อุบลราชธานี|อ.ตาลสุม|ต.ตาลสุม
278|จ.สุรินทร์|อ.เมือง|ต.ในเมือง
280|จ.กรุงเทพมหานคร|เขตบางพลัด|แขวงบางพลัด
281|จ.ภูเก็ต|อำเภอถลาง|ตำบลเทพกระษัตรี
282|จ.พะเยา|อ.ดอกคำใต้|ต.บ้านปิน
283|จ.นครศรีธรรมราช|อ.ถ้ำพรรณรา|ม.3
284|จ.ลำปาง|อ.เถิน|ต.ล้อมแรด
285|จ.พิษณุโลก|อ.วังทอง|ต.แก่งโสภา
286|จ.ชุมพร|อ.ท่าแซะ|ต.ทรัพย์อนันต์
287|จ.กำแพงเพชร|อ.ทรายทองวัฒนา|ต.ทุ่งทราย
288|จ.ยโสธร|ต.ทรายมูล|ม.16
289|จ.นครศรีธรรมราช|ต.โพธิ์เสด็จ|ม.2
290|จ.อุตรดิตถ์|อซทองแสนขัน|ต.บ่อทอง
291|จ.พิจิตร|อ.ทับคล้อ|ต.ทับคล้อ
292|จ.พังงา|อ.ทับปุด|ต.ทับปุด
293|จ.ประจวบคีรีขันธ์|อ.ทับสะแก|ต.เขาล้าน
294|จ.อุทัยธานี|อ.ทัพทัน|ต.ทัพทัน
295|จ.ชุมพร|อ.ท่าแซะ|ต.ท่าข้าม
296|กาฬสินธุ์|ท่าคันโท|นาตาล
297|จ.สุราษฎร์ธานี|อ.ท่าฉาง|ต.เขาถ่าน
298|จ.สุราษฎร์ธานี|อ.ท่าชนะ|ต.ท่าชนะ
299|จ.สุโขทัย|อ.ศรีสัชนาลัย|ต.ท่าชัย
300|จ.ชุมพร|อ.ท่าแซะ|ต.ท่าแซะ
301|จ.เพชรบูรณ์|อ.หนองไผ่|ต.ท่าแดง
302|จ.เชียงราย|อ.พาน|ต.สันติสุข
303|จ.ฉะเชิงเทรา|อ.ท่าตะเกียบ|ต.ท่าตะเกียบ
304|จ.นครสวรรค์|อ.ท่าตะโก|ต.ท่าตะโก
305|จ.สุรินทร์|อ.ท่าตูม|ต.ท่าตูม
306|จ.หนองคาย|อ.ท่าบ่อ|ต.ท่าบ่อ
307|จ.พิจิตร|อ.โพทะเล|ม.12
308|จ.อุตรดิตถ์|อ.ท่าปลา|ต.ร่วมจิต
309|จ.เพชรบูรณ์|อ.เมือง|ต.ท่าพล
310|จ.กำแพงเพชร|อ.คลองขลุง|ม.3
311|จ.สตูล|ต.ท่าแพ|ที่ว่าการอ.ท่าแพ
312|จ.กาญจนบุรี|อ.ท่าม่วง|ต.ท่าม่วง
313|จ.พัทลุง|อ.เมือง|ต.คูหาสวรรค์
314|จ.พังงา|อ.ท้ายเหมือง|ต.ท้ายเหมือง
315|จ.เพชรบุรี|อ.ท่ายาง|ต.ท่ายาง
316|จ.พระนครศรีอยุธยา|อ.ท่าเรือ|ต.ท่าเรือ
317|จ.กาญจนบุรี|อ.ท่ามะกา|ต.ท่าเรือ
318|จ.สุราษฎร์ธานี|อ.พุนพิน|ต.ท่าโรงช้าง
319|เลย|ท่าลี่|หนองผือ
320|จ.น่าน|อ.ท่าวังผา|ต.ท่าวังผา
321|จ.ลพบุรี|อ.ท่าวุ้ง|ต.ท่าวุ้ง
322|จ.นครศรีธรรมราช|อ.ท่าศาลา|ต.ท่าศาลา
323|จ.ตาก|ต.แม่ต้าน|ม.2
324|จ.อุตรดิตถ์|อ.พิชัย|ต.ท่าสัก
325|จ.นครพนม|อ.ท่าอุเทน|ต.ท่าอุเทน
326|จ.นครศรีธรรมราช|อ.ทุ่งสง|ต.ที่วัง
327|จ.กรุงเทพมหานคร|เขตทุ่งครุ|โครงการทาวน์พลัส-ประชาอุทิศ
328|จ.สุพรรณบุรี|อ.สองพี่น้อง|ต.ทุ่งคอก
329|จ.น่าน|ต.ทุ่งช้าง|ม.2
330|จ.ชุมพร|อ.ทุ่งตะโก|ต.ทุ่งตะไคร
331|จ.สุราษฎร์ธานี|อำเภอบ้านนาสาร|ตำบลทุ่งเตา
332|จ.แพร่|อ.สอง|ม.2
333|จ.อุดรธานี|ต.ทุ่งฝน|ต.ทุ่งฝน
334|จ.ตรัง|อ.ปะเหลียน|ต.ทุ่งยาว
335|จ.พะเยา|อ.จุน|ต.ทุ่งรวงทอง
336|จ.อุบลราชธานี|อ.ทุ่งศรีอุดม|ต.โคกชำแระ
337|จ.นครศรีธรรมราช|อ.ทุ่งสง|ต.ปากแพรก
338|จ.สุโขทัย|อ.ทุ่งเสลี่ยม|ต.ทุ่งเสลี่ยม
339|จ.เชียงใหม่|อ.สันป่าตอง|ต.บ้านกลาง
340|จ.สตูล|อ.ทุ่งหว้า|ต.ทุ่งหว้า
341|จ.นครศรีธรรมราช|อ.ทุ่งใหญ่|ต.ท่ายาง
342|จ.แพร่|อ.เมือง|ต.ทุ่งโฮ้ง
343|จ.ชัยภูมิ|อ.เทพสถิต|ต.วะตะแบก
344|จ.สงขลา|อ.เทพา|ต.เทพา
345|นครราชสีมา|เทพารักษ์|สำนักตะคร้อ
346|จ.เชียงราย|อ.เทิง|ต.เวียง
347|จ.ยโสธร|อ.ไทยเจริญ|ต.คำเตย
348|จ.กำแพงเพชร|อ.ไทรงาม|ต.ไทรงาม
349|จ.นนทบุรี|อ.ไทรน้อย|ต.คลองขวาง
350|จ.ร้อยเอ็ด|อ.ธวัชบุรี|ต.ธงธานี
351|จ.ร้อยเอ็ด|อ.ธวัชบุรี|ต.นิเวศน์
352|จ.นครพนม|อ.ธาตุพนม|ต.ธาตุพนม
353|จ.นครปฐม|อ.นครชัยศรี|ต.ท่าตำหนัก
354|จ.กำแพงเพชร|อ.เมือง|ต.นครชุม
355|จ.พิษณุโลก|อ.นครไทย|ต.นครไทย
356|จ.นครนายก|อ.เมือง|ต.บ้านใหญ่
357|จ.นครปฐม|อ.เมืองนครปฐม|ต.พระประโทน
358|จ.นครพนม|อ.เมือง|ต.ในเมือง
359|จ.นครราชสีมา|อ.เมือง|ต.ในเมือง
360|จ.นครศรีธรรมราช|อ.เมือง|ต.ในเมือง
361|จ.นครสวรรค์|อ.เมือง|ต.ปากน้ำโพ
362|จ.นนทบุรี|อ.เมือง|ต.สวนใหญ่
363|จ.นครศรีธรรมราช|อ.นบพิตำ|ต.นบพิตำ
364|จ.นราธิวาส|อ.เมือง|ต.บางนาค
365|จ.หนองบัวลำภู|อ.นากลาง|ต.นากลาง
366|นครพนม|นาแก|นาแก
367|จ.กาฬสินธุ์|อ.นาคู|ต.นาคู
368|จ.บุรีรัมย์|อ.นางรอง|ต.นางรอง
369|จ.กรุงเทพมหานคร|เขตดุสิต|แขวงจิตรลดา
370|จ.เชียงราย|อ.เมือง|ต.นางแล
371|จ.อุบลราชธานี|อ.นาจะหลวย|ม.8
372|จ.เพชรบูรณ์|อ.หนองไผ่|ต.ยางงาม
373|จ.มหาสารคาม|อ.นาเชือก|ต.นาเชือก
374|จ.เลย|อ.นาด้วง|ต.นาด้วง
375|จ.ปราจีนบุรี|อ.นาดี|ต.นาดี
376|จ.นครพนม|ต.ดอนเตย|ม.4
377|จ.สงขลา|อ.นาทวี|ต.นาทวี
378|จ.สุโขทัย|อ.สวรรคโลก|ต.นาทุ่ง
379|จ.น่าน|อ.เมือง|ต.ในเวียง
380|จ.น่าน|อ.นาน้อย|ต.นาน้อย
381|จ.นครศรีธรรมราช|อ.นาบอน|ต.นาบอน
382|จ.ปัตตานี|อ.โคกโพธิ์|ต.นาประดู่
383|จ.บุรีรัมย์|อ.นาโพธิ์|ต.นาโพธิ์
384|จ.กาฬสินธุ์|อ.นามน|ต.นามน
385|จ.จันทบุรี|อ.กิ่งอำเภอนายายอาม|ต.นายายอาม
386|จ.อุดรธานี|อ.นายูง|ต.นายูง
